Race,Gender,Age_Range,With_Kids,Basket_Size
indian,male,34,no,big
indian,male,30,no,small
malay,female,50,yes,big
indian,male,34,no,big
chinese,female,44,no,big
malay,female,34,no,big
malay,female,36,no,big
indian,male,48,no,big
malay,female,42,yes,big
indian,female,42,no,small
foreigner ,male,54,no,big
malay,male,53,yes,big
malay,male,29,yes,big
indian,male,43,no,big
indian,female,29,yes,small
indian,female,55,yes,big
malay,female,45,no,big
indian,male,30,no,small
chinese,female,45,no,big
malay,male,38,yes,big
malay,female,48,yes,big
malay,male,52,no,big
malay,male,32,no,big
chinese,male,34,no,big
malay,female,49,no,big
malay,female,55,no,big
malay,female,49,no,big
malay,male,55,no,small
malay,female,40,no,big
indian,male,44,no,big
foreigner ,male,54,no,big
chinese,female,32,no,big
indian,male,47,no,big
malay,female,52,yes,big
malay,male,33,no,big
malay,female,31,no,big
malay,female,41,no,big
chinese,male,36,no,big
malay,male,50,yes,big
malay,male,41,yes,big
chinese,male,53,yes,big
chinese,male,51,no,big
malay,male,31,no,big
malay,male,40,no,big
malay,male,41,no,big
malay,male,54,no,small
malay,female,47,no,big
malay,male,41,yes,big
indian,male,41,no,big
chinese,female,42,no,small
malay,female,47,no,big
chinese,male,34,no,big
malay,female,44,no,big
indian,male,38,no,big
malay,male,49,no,big
malay,female,48,no,big
malay,female,53,no,big
malay,male,53,no,big
malay,female,55,no,big
malay,female,29,no,big
foreigner ,male,46,no,big
malay,male,40,no,big
malay,female,37,no,big
malay,male,41,no,big
malay,female,53,no,big
indian,male,32,no,big
malay,female,50,no,big
indian,female,33,no,big
chinese,male,55,no,big
indian,male,30,no,big
chinese,male,34,no,big
indian,female,39,no,big
chinese,female,41,no,big
indian,male,35,no,big
chinese,male,45,no,big
chinese,female,41,no,big
foreigner ,male,42,no,big
foreigner ,female,54,no,big
malay,male,29,no,big
malay,female,48,no,big
malay,male,29,no,big
malay,male,34,no,big
malay,male,29,yes,big
indian,male,33,no,big
malay,female,43,yes,big
malay,male,29,no,big
malay,female,48,yes,big
malay,male,42,no,big
malay,female,35,no,big
chinese,male,40,no,big
indian,male,37,no,big
malay,male,39,no,big
indian,female,36,no,big
malay,female,40,yes,big
chinese,female,51,no,big
malay,male,44,no,big
indian,female,34,no,big
indian,male,53,no,big
malay,female,37,no,big
foreigner ,female,42,no,small
chinese,male,51,yes,big
foreigner ,male,33,no,big
malay,female,29,yes,big
indian,male,35,no,big
malay,female,45,yes,big
malay,female,48,no,big
indian,female,36,no,big
malay,female,54,yes,big
indian,male,35,no,big
indian,female,46,yes,big
malay,female,32,yes,big
malay,male,50,yes,big
indian,male,41,yes,big
indian,female,46,no,big
chinese,female,30,no,big
malay,female,42,yes,big
malay,male,54,yes,big
indian,male,46,no,big
